Corresponding_vessels,Corresponding_actions,Engine_on_hours
HLV,Idle at port,628238.125
HLV,Transit,15496.0
Towing Group,Idle at port,929730.2761655843
Towing Group,Idle at sea,151086.0
Towing Group,Maneuvering,11622.0
Towing Group,Transit,244802.17618831169
