Corresponding_vessels,Corresponding_actions,Engine_on_hours
HLV,Idle at port,449444.25
HLV,Transit,11088.0
Towing Group,Idle at port,678265.29262013
Towing Group,Idle at sea,108108.0
Towing Group,Maneuvering,8316.0
Towing Group,Transit,198897.03245454546
