Corresponding_vessels,Corresponding_actions,Engine_on_hours
Onshore,Idle at port,52839.0
Onshore,None,900190.5
Onshore,Transit,23496.0
Towing Group,Idle at port,1523056.4698928571
Towing Group,Idle at sea,229086.0
Towing Group,Maneuvering,17622.0
Towing Group,Transit,536067.7882012987
